"date","close","volume","open","high","low"
"2018/12/20","115.3800","9049389.0000","327.0540","330.2900","311.8690"
"2018/12/19","432.9700","8256374.0000","337.6000","347.0100","329.7400"
"2018/12/18","637.0300","7084887.0000","350.5400","351.5500","333.6900"
"2018/12/17","848.4200","7664832.0000","362.0000","365.7000","343.8800"
"2018/12/14","965.7100","6327625.0000","375.0000","377.8700","364.3300"
"2018/12/13","376.7900","7348168.0000","370.1500","377.4400","366.7500"
"2018/12/12","366.6000","5019725.0000","369.4200","371.9100","365.1600"
"2018/12/11","366.7600","6298472.0000","369.9100","372.1689","360.2300"
"2018/12/10","365.1500","6575341.0000","360.0000","365.9800","353.1200"
"2018/12/07","357.9650","11484350.0000","369.0000","379.4900","357.6500"
"2018/12/06","363.0600","7828689.0000","356.0100","367.3800","350.7600"
"2018/12/04","359.7000","8430213.0000","356.0500","368.6800","352.0000"
"2018/12/03","358.4900","8295843.0000","360.0000","366.0000","352.0000"
"2018/11/30","350.4800","5621104.0000","341.8300","351.6000","338.2648"
"2018/11/29","341.1700","3076026.0000","347.0000","347.5000","339.5500"
"2018/11/28","347.8700","4114038.0000","345.9900","348.2800","342.2100"
"2018/11/27","343.9200","6347004.0000","340.0500","346.9600","335.5000"
"2018/11/26","346.0000","7973119.0000","325.0000","346.2200","325.0000"
"2018/11/23","325.8300","4202642.0000","334.3450","337.5000","325.5500"
"2018/11/21","338.1900","4677389.0000","352.0000","353.1000","337.3995"
"2018/11/20","347.4900","7991253.0000","341.7500","349.8000","333.5500"
"2018/11/19","353.4700","9698559.0000","356.3400","366.7500","352.8800"
"2018/11/16","354.3100","7194458.0000","345.1900","355.7000","345.1201"
"2018/11/15","348.4400","4600130.0000","342.3300","348.5800","339.0400"
"2018/11/14","344.0000","5032083.0000","342.7000","347.1100","337.1500"
